borough,address,zonedist1,zonedist2,bldgclass,landuse,numfloors,unitsres,unitstotal,assesstot,yearbuilt,builtfar,residfar,commfar,BBL,latitude,longitude
QN,10-55 WYCKOFF AVENUE,M1-4D,,C0,2.0,2.0,3,3,73920.0,1930.0,1.08,1.5,2.0,4035540008,40.6951218,-73.902824
QN,11-03 WYCKOFF AVENUE,M1-4D,,F5,6.0,1.0,0,1,113850.0,1943.0,1.0,1.5,2.0,4035560009,40.6943054,-73.9015018
QN,1629 DECATUR STREET,M1-4D,,S2,4.0,2.0,2,3,105540.0,1910.0,0.72,1.5,2.0,4035550089,40.6951534,-73.9012805
QN,1627 DECATUR STREET,M1-4D,,B2,1.0,2.0,2,2,62760.0,1910.0,0.72,1.5,2.0,4035550090,40.6950684,-73.9013636
QN,11-07 IRVING AVENUE,M1-4,,C3,2.0,2.0,4,4,345600.0,1931.0,1.33,0.0,2.0,4035420007,40.6928273,-73.9030293
QN,1512 DECATUR STREET,M1-4,,C3,2.0,2.0,4,4,345600.0,1931.0,1.2,0.0,2.0,4035420014,40.6930194,-73.9030182
QN,15-19 COOPER AVENUE,M1-4,,C3,2.0,2.0,4,4,345600.0,1931.0,1.19,0.0,2.0,4035420087,40.6930163,-73.9025602
QN,10-63 WYCKOFF AVENUE,M1-4D,,F5,6.0,2.0,0,1,225450.0,1931.0,1.12,1.5,2.0,4035540002,40.6949898,-73.9025574
QN,10-44 WYCKOFF AVENUE,M1-4D,,C1,2.0,4.0,24,24,553050.0,1929.0,3.06,1.5,2.0,4035400037,40.6949988,-73.9035022
QN,11-03 IRVING AVENUE,M1-4,,C3,2.0,2.0,4,4,391050.0,1931.0,1.33,0.0,2.0,4035420010,40.6929098,-73.903177
QN,IRVING AVENUE,M1-4,,V1,11.0,,0,0,187200.0,0.0,0.0,0.0,2.0,4035420057,40.6934184,-73.9009225
QN,1638 SUMMERFIELD STREET,M1-4D,,F4,6.0,1.0,0,2,459450.0,1931.0,1.0,1.5,2.0,4035550029,40.6955377,-73.9013593
QN,1654 SUMMERFIELD STREET,M1-4D,,B1,1.0,2.0,2,2,82380.0,1910.0,0.82,1.5,2.0,4035550035,40.6956776,-73.9012221
